tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Atp Cup,A,Hard,Novak Djokovic,124.0,2.0,34.833333333333336,0.6958769669264951,0.48333333333333334,0.781926406926407,0.3980851936734289,0.5715909090909091,2020
Doha,A,Hard,Andrey Rublev,77.25,23.0,68.5,0.6880445609144487,0.6097222222222223,0.45833333333333337,0.47272377215925604,0.5277777777777777,2020
Adelaide,A,Hard,Andrey Rublev,102.5,18.0,47.75,0.7118777627084588,0.6807889822595705,0.85,0.42831075759949805,0.4722222222222222,2020
Auckland,A,Hard,Ugo Humbert,103.0,57.0,35.8,0.7638897682591679,0.6011111111111112,0.4828282828282828,0.34074783420528104,0.3869047619047619,2020
Australian Open,G,Hard,Novak Djokovic,141.14285714285714,2.0,44.42857142857143,0.7406603792396711,0.7374389499389499,0.5948979591836735,0.4288386229536144,0.4900793650793651,2020
Cordoba,A,Clay,Cristian Garin,106.5,31.0,67.5,0.6478429132532735,0.23008241758241757,0.5355769230769231,0.4454390469567748,0.446875,2020
Montpellier,A,Hard,Gael Monfils,92.75,9.0,81.25,0.6651675695443051,0.7685064935064935,0.7708333333333334,0.39558416389811735,0.530952380952381,2020
Pune,A,Hard,Jiri Vesely,129.4,107.0,205.0,0.7231349206349207,1.360427807486631,0.34500000000000003,0.37463505422729626,0.369047619047619,2020
Buenos Aires,A,Clay,Casper Ruud,83.2,45.0,76.6,0.7241209624603109,0.43238095238095237,0.29333333333333333,0.4653185084479727,0.6261904761904761,2020
New York,A,Hard,Kyle Edmund,95.0,62.0,85.4,0.6871620081937407,0.5901010101010101,0.6216666666666667,0.40924042174042174,0.46071428571428574,2020
Rotterdam,A,Hard,Gael Monfils,92.6,9.0,43.6,0.6701077584286276,0.7617676767676768,0.4333333333333333,0.4723530167003419,0.4774891774891774,2020
Delray Beach,A,Hard,Reilly Opelka,109.0,54.0,113.0,0.7618615574302906,1.4861274509803923,0.65,0.32777189628927866,0.4583333333333333,2020
Marseille,A,Hard,Stefanos Tsitsipas,77.75,6.0,61.5,0.775997150997151,0.6238636363636364,0.3666666666666667,0.4349509620217127,0.4520833333333333,2020
ATP Rio de Janeiro,A,Clay,Cristian Garin,123.4,25.0,91.2,0.6463532977536798,0.3916577540106952,0.369047619047619,0.4295942146070792,0.40523809523809523,2020
Acapulco,A,Hard,Rafael Nadal,90.6,2.0,47.4,0.6744924004765206,0.385,0.7,0.5036220024194121,0.6523809523809524,2020
Dubai,A,Hard,Novak Djokovic,83.4,1.0,74.4,0.7027281381748947,0.39192307692307693,0.3142857142857143,0.4984715625380587,0.5981240981240982,2020
Santiago,A,Clay,Thiago Seyboth Wild,97.6,182.0,109.4,0.680228780181165,0.5200757575757576,0.8204545454545455,0.4211880143245475,0.4714285714285714,2020
Cincinnati Masters,M,Hard,Novak Djokovic,110.2,1.0,40.6,0.6498382264133414,0.5206682206682206,0.5933333333333333,0.45822740874289,0.49777777777777776,2020
Us Open,G,Hard,Dominic Thiem,150.0,3.0,46.857142857142854,0.681476905261996,0.471950318588974,0.7179705215419501,0.4364182917697049,0.45316588173731026,2020
Kitzbuhel,A,Clay,Miomir Kecmanovic,110.0,47.0,119.4,0.6829126196057559,0.4724649859943978,0.7076190476190476,0.43809675867502385,0.47888888888888886,2020
Rome Masters,M,Clay,Novak Djokovic,117.0,1.0,52.4,0.6556166091292674,0.47486291486291493,0.4416666666666667,0.46353686635944696,0.35607448107448103,2020
Hamburg,A,Clay,Andrey Rublev,95.8,14.0,30.8,0.6639436261463381,0.3488888888888889,0.4584615384615384,0.48388717414251553,0.5333333333333333,2020
Roland Garros,G,Clay,Rafael Nadal,136.28571428571428,2.0,99.42857142857143,0.6930551435690852,0.1529232672089815,0.5139455782312926,0.5108919131381698,0.7521387342815915,2020
Cologne 1,A,Hard,Alexander Zverev,90.75,7.0,61.5,0.7358398530289539,0.6215277777777778,0.41666666666666663,0.4274209502771209,0.5103174603174603,2020
Sardinia,A,Clay,Laslo Djere,98.6,74.0,93.2,0.6543763669091877,0.25272727272727274,0.4787878787878788,0.4584162561576354,0.647012987012987,2020
St Petersburg,A,Hard,Andrey Rublev,100.2,10.0,46.2,0.7164072119701442,0.47659812409812413,0.5833333333333334,0.41190689792663476,0.44911421911421917,2020
Cologne 2,A,Hard,Alexander Zverev,113.25,7.0,35.0,0.671895899710095,0.8346861471861472,0.7991071428571429,0.4515730186221989,0.5900162337662338,2020
Nur-Sultan,A,Hard,John Millman,121.5,45.0,55.75,0.6722220444280874,0.175,0.6339285714285714,0.3877286166846397,0.45769230769230773,2020
Vienna,A,Hard,Andrey Rublev,60.8,8.0,60.6,0.8281134751773049,1.2594444444444446,0.4,0.40800313750098044,0.5966666666666667,2020
Paris Masters,M,Hard,Daniil Medvedev,88.8,5.0,28.8,0.7647775020135048,0.9463203463203463,0.6095238095238095,0.39907754010695184,0.5133333333333334,2020
Sofia,A,Hard,Jannik Sinner,105.2,44.0,67.6,0.6776889051913353,0.4385569985569986,0.8247619047619048,0.3939341203966019,0.5266666666666666,2020
Tour Finals,F,Hard,Daniil Medvedev,112.0,4.0,4.4,0.704033658301951,0.7268253968253967,0.7666666666666667,0.40899949723479134,0.30328282828282827,2020
Antwerp,A,Hard,Ugo Humbert,122.2,38.0,68.2,0.7015390247600892,0.4297727272727273,0.7238095238095238,0.37043035346308556,0.39666666666666667,2020
