tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Andy Murray,89.75,3.0,77.25,0.6994456628879605,0.5416666666666666,0.725,0.4111470158480387,0.7011363636363637,2013
Chennai,A,Hard,Roberto Bautista Agut,121.5,80.0,67.5,0.6051911495155801,0.16375291375291373,0.49424603174603177,0.4397830335865036,0.3559027777777778,2013
Doha,A,Hard,Richard Gasquet,111.8,10.0,99.2,0.6732374538836842,0.6728011204481793,0.7892857142857143,0.4200410526403349,0.4448717948717949,2013
Auckland,A,Hard,David Ferrer,75.0,5.0,56.5,0.6989575466609127,0.2455357142857143,0.525,0.46958002513280406,0.5657738095238095,2013
Sydney,A,Hard,Bernard Tomic,90.2,64.0,36.0,0.7334305969304669,0.7329545454545453,0.72,0.3328502576977471,0.48517316017316015,2013
Australian Open,G,Hard,Novak Djokovic,156.71428571428572,1.0,26.714285714285715,0.7740149977484487,0.4791750791225581,0.6230158730158729,0.42571762237875305,0.4962370962370962,2013
Montpellier,A,Hard,Richard Gasquet,91.5,10.0,64.0,0.6857477500569606,0.59375,0.5875,0.4706839674049731,0.5104166666666666,2013
Santiago,A,Clay,Horacio Zeballos,121.6,73.0,69.8,0.6816444480704904,0.5026663695781343,0.4333333333333333,0.3944332796450775,0.3982967032967033,2013
Zagreb,A,Hard,Marin Cilic,95.0,12.0,51.0,0.7115856899084934,0.8396464646464646,0.5,0.43757450262537734,0.5597222222222222,2013
Rotterdam,A,Hard,Juan Martin del Potro,86.6,7.0,75.0,0.7040578432117849,0.6894949494949495,0.8666666666666666,0.38680175957547813,0.39904761904761904,2013
San Jose,A,Hard,Milos Raonic,70.25,13.0,43.75,0.806314056824079,1.5042929292929292,0.25,0.3999749043227304,0.3821428571428571,2013
Sao Paulo,A,Clay,David Nalbandian,104.5,93.0,93.5,0.709632463141326,0.7121119281045751,0.36704545454545456,0.40864112739112735,0.6625,2013
Buenos Aires,A,Clay,David Ferrer,86.0,4.0,84.0,0.6683907742951225,0.09871794871794871,0.5857142857142856,0.488174513757652,0.484992784992785,2013
Marseille,A,Hard,Jo-Wilfried Tsonga,101.5,8.0,27.0,0.7276692981179131,1.0239583333333333,0.4642857142857143,0.3640709261803012,0.4194444444444444,2013
Memphis,A,Hard,Kei Nishikori,66.6,22.0,91.6,0.6914403081844942,0.3687373737373737,0.4866666666666667,0.46868054080587535,0.6799999999999999,2013
Acapulco,A,Clay,Rafael Nadal,83.8,5.0,68.2,0.7008054802213095,0.20025252525252527,0.9,0.48674306386273936,0.4583333333333333,2013
Delray Beach,A,Hard,Ernests Gulbis,102.8,109.0,80.0,0.665208550165072,0.6794444444444444,0.5721212121212121,0.44363697488697496,0.6216386554621849,2013
Dubai,A,Hard,Novak Djokovic,84.6,1.0,26.4,0.7049398064621946,0.5782828282828282,0.5933333333333334,0.47362172985905227,0.518888888888889,2013
Indian Wells Masters,M,Hard,Rafael Nadal,117.2,5.0,36.5,0.5643103615190994,0.13076599326599325,0.425,0.34825682600357616,0.3030002405002405,2013
Miami Masters,M,Hard,Andy Murray,107.5,3.0,20.333333333333332,0.6449371266213489,0.5633477633477634,0.6200396825396824,0.4854717240431526,0.5180555555555556,2013
