tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Madrid Masters,M,Clay,Roger Federer,86.0,2.0,10.2,0.719211103702564,0.7986111111111112,0.7333333333333333,0.3859711570683917,0.6198412698412699,2009
Bangkok,A,Hard,Gilles Simon,87.25,10.0,61.75,0.7049495162531054,0.8013257575757576,0.5625,0.42253501706626706,0.5249999999999999,2009
Zagreb,A,Hard,Marin Cilic,89.0,22.0,94.0,0.7178515014699517,0.8266666666666665,0.5,0.4427037128156531,0.4122144522144522,2009
Auckland,A,Hard,Sam Querrey,91.0,36.0,147.0,0.6885770439002167,0.8216991341991342,0.35317460317460314,0.3998199070969024,0.5303571428571429,2009
Kitzbuhel,A,Clay,Guillermo Garcia Lopez,136.0,74.0,49.0,0.6741721527209519,0.06428571428571428,0.6666666666666667,0.43414467427456505,0.43769841269841264,2009
Munich,A,Clay,Tomas Berdych,127.8,28.0,142.4,0.6799228226888038,0.539448051948052,0.6292857142857142,0.3681594667672766,0.33505494505494504,2009
Queen's Club,A,Grass,Andy Murray,67.8,3.0,46.2,0.7736088890949888,0.7772727272727272,0.1,0.4093603067298961,0.7095238095238096,2009
Gstaad,A,Clay,Thomaz Bellucci,103.2,119.0,83.6,0.6789344190390656,0.3271657754010695,0.5333333333333333,0.32772532096678675,0.48,2009
Newport,A,Grass,Rajeev Ram,88.2,181.0,144.4,0.7256704752442458,0.6538784907902555,0.4342857142857143,0.37262311309598345,0.44666666666666666,2009
Bastad,A,Clay,Juan Monaco,87.0,61.0,46.0,0.6768317997335564,0.2992063492063492,0.39583333333333337,0.5048769970951343,0.5202922077922078,2009
Stuttgart,A,Clay,Jeremy Chardy,88.6,43.0,40.8,0.6867639273862555,0.5138461538461538,0.4630952380952381,0.40730115990057997,0.5166666666666666,2009
Basel,A,Hard,Novak Djokovic,112.2,3.0,25.6,0.6888459497274086,0.5597943722943722,0.8469696969696969,0.4433460473417691,0.45,2009
Tokyo,A,Hard,Jo-Wilfried Tsonga,79.6,7.0,52.2,0.7359966467595089,1.0823931623931624,0.6599999999999999,0.39379722128743805,0.51,2009
New Haven,A,Hard,Fernando Verdasco,80.4,10.0,45.4,0.7003065080338042,0.5743939393939395,0.7095238095238094,0.4695869348043261,0.4796536796536797,2009
Vienna,A,Hard,Jurgen Melzer,101.8,35.0,62.0,0.7112369218408869,0.6756313131313132,0.8666666666666668,0.37532732771104865,0.40595238095238095,2009
