tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
United Cup,A,Hard,Frances Tiafoe,80.0,19.0,93.6,0.6841245329006777,0.6580808080808082,0.64,0.40340040393857074,0.5688888888888889,2023
Adelaide 1,A,Hard,Novak Djokovic,116.6,5.0,37.4,0.7537361620749721,0.5179084967320261,0.65,0.3765679442508711,0.38047619047619047,2023
Pune,A,Hard,Tallon Griekspoor,77.2,95.0,59.0,0.6137881879873982,0.7684848484848485,0.25,0.2929289144062067,0.36571428571428577,2023
Auckland,A,Hard,Richard Gasquet,83.6,67.0,157.4,0.5804353842878432,0.41409090909090907,0.3333333333333333,0.3646266487330788,0.37230769230769234,2023
Adelaide 2,A,Hard,Soon Woo Kwon,125.6,84.0,54.6,0.6627610426901331,0.7291666666666667,0.7607792207792208,0.4509494176162828,0.5428571428571428,2023
Australian Open,G,Hard,Novak Djokovic,151.14285714285714,5.0,51.857142857142854,0.7153498257727685,0.6554833471850279,0.7242063492063492,0.46325592861329495,0.45700886415172126,2023
Cordoba,A,Clay,Sebastian Baez,103.0,47.0,154.25,0.6821177448085277,0.3803418803418803,0.6666666666666666,0.428113515041122,0.46825396825396826,2023
Dallas,A,Hard,Yibing Wu,125.2,97.0,44.6,0.695922287005122,0.43330107800696044,0.8128571428571428,0.3330113291690461,0.4666666666666667,2023
Montpellier,A,Hard,Jannik Sinner,71.25,17.0,84.75,0.5632973904912189,0.24368686868686867,0.6666666666666666,0.30306904887814456,0.29464285714285715,2023
Delray Beach,A,Hard,Taylor Fritz,102.0,7.0,60.5,0.6806839299687011,0.8536713286713288,0.5,0.42123672990799826,0.5076388888888889,2023
Buenos Aires,A,Clay,Carlos Alcaraz,95.5,2.0,58.25,0.6763114623025899,0.27345085470085473,0.6142857142857143,0.47047515976087406,0.5535714285714286,2023
Rotterdam,A,Hard,Daniil Medvedev,102.8,11.0,23.2,0.6472582059697805,0.663064713064713,0.7357575757575757,0.5081498903909389,0.43992673992674,2023
Doha,A,Hard,Daniil Medvedev,108.5,8.0,80.0,0.6765291686225421,0.5196969696969697,0.6035714285714285,0.4056420628158191,0.5238095238095238,2023
Rio De Janeiro,A,Clay,Cameron Norrie,132.6,13.0,73.2,0.6671863186601592,0.31910364145658265,0.528888888888889,0.4230837880124058,0.3559523809523809,2023
Marseille,A,Hard,Hubert Hurkacz,115.0,11.0,78.0,0.7321460725581426,1.4627705627705627,0.8125,0.36728308890386485,0.2641414141414141,2023
Acapulco,A,Hard,Alex De Minaur,109.8,22.0,448.8,0.6782836548793996,0.2986263736263736,0.825,0.5076861776488643,0.5256349206349207,2023
Dubai,A,Hard,Daniil Medvedev,79.8,7.0,36.8,0.7507635445446728,0.7294444444444443,0.1,0.4605034173167475,0.670952380952381,2023
Santiago,A,Clay,Nicolas Jarry,153.0,87.0,81.8,0.665060486648609,0.6610389610389611,0.55,0.38795468302231184,0.5199999999999999,2023
Indian Wells Masters,M,Hard,Carlos Alcaraz,87.5,2.0,35.833333333333336,0.7516606462624525,0.2461279461279461,0.5416666666666666,0.42893197983520864,0.4611111111111111,2023
Miami Masters,M,Hard,Daniil Medvedev,90.4,5.0,60.833333333333336,0.5905284978532039,0.6229377104377104,0.5277777777777778,0.35488277291555975,0.5972222222222222,2023
Estoril,A,Clay,Casper Ruud,112.75,5.0,74.75,0.6962599906288577,0.2644230769230769,0.7392857142857143,0.4104948667032121,0.32891414141414144,2023
Houston,A,Clay,Frances Tiafoe,83.25,15.0,104.75,0.7689883346346467,0.88125,0.375,0.41072320747273505,0.6884615384615385,2023
Marrakech,A,Clay,Roberto Carballes Baena,121.6,82.0,87.2,0.6728573863936045,0.10029304029304029,0.3924242424242424,0.540918606837339,0.5193473193473193,2023
Monte Carlo Masters,M,Clay,Andrey Rublev,121.0,6.0,42.8,0.613970912128807,0.3464560439560439,0.36666666666666664,0.47384247016096337,0.5164912280701754,2023
