tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Kei Nishikori,92.25,9.0,34.5,0.7244296228474014,0.3993589743589744,0.375,0.4529528985507246,0.4738095238095238,2019
Doha,A,Hard,Roberto Bautista Agut,102.8,24.0,59.4,0.7161710138600894,0.31587301587301586,0.8166666666666668,0.4174514237136477,0.4428571428571429,2019
Pune,A,Hard,Kevin Anderson,117.0,6.0,76.0,0.7268726786083148,1.5744949494949496,0.475,0.3557959088605521,0.5357142857142857,2019
Auckland,A,Hard,Tennys Sandgren,74.6,63.0,53.8,0.7301948794742205,0.9644444444444444,0.49333333333333335,0.4046893958762577,0.4035714285714286,2019
Sydney,A,Hard,Alex De Minaur,101.4,29.0,57.4,0.6954744295830054,0.2197979797979798,0.44761904761904764,0.41576560398527285,0.3985714285714285,2019
Australian Open,G,Hard,Novak Djokovic,120.42857142857143,1.0,70.71428571428571,0.768895248376128,0.4690698190698191,0.46825396825396826,0.47173691148518654,0.5811660561660562,2019
Cordoba,A,Clay,Juan Ignacio Londero,94.4,112.0,114.0,0.6935981418137892,0.37194805194805197,0.6714285714285715,0.41550241984271025,0.47777777777777775,2019
Montpellier,A,Hard,Jo-Wilfried Tsonga,100.0,210.0,57.2,0.7504553970982177,1.0200980392156862,0.49333333333333335,0.3876202213853703,0.4542735042735043,2019
Sofia,A,Hard,Daniil Medvedev,80.25,16.0,43.0,0.7054062592922986,0.7296626984126984,0.46428571428571425,0.4664998196248196,0.5158730158730159,2019
Buenos Aires,A,Clay,Marco Cecchinato,88.75,18.0,70.25,0.6916333870845827,0.34974747474747475,0.30625,0.43775765344365003,0.4930555555555555,2019
New York,A,Hard,Reilly Opelka,112.8,89.0,83.8,0.793372429675246,2.1075854700854704,0.7,0.27080200477488614,0.13999999999999999,2019
Rotterdam,A,Hard,Gael Monfils,100.4,33.0,40.2,0.6319944646254974,0.5392307692307693,0.5549999999999999,0.44937050573483095,0.5101948051948051,2019
Delray Beach,A,Hard,Radu Albot,113.8,82.0,83.6,0.6697948429279699,0.35161505161505163,0.6799999999999999,0.3857003096451285,0.3367094017094017,2019
Marseille,A,Hard,Stefanos Tsitsipas,78.5,12.0,73.25,0.7796741014094857,0.5722222222222223,0.1875,0.39820243316006027,0.5833333333333333,2019
Rio de Janeiro,A,Clay,Laslo Djere,95.25,90.0,80.6,0.5385567461748494,0.40383838383838383,0.11666666666666665,0.3778946428172662,0.41960317460317464,2019
Acapulco,A,Hard,Nick Kyrgios,127.6,72.0,21.0,0.6865802638336078,1.1426307189542482,0.665,0.3163199962660879,0.4050000000000001,2019
Dubai,A,Hard,Roger Federer,88.2,7.0,24.4,0.728850241798003,0.5819130869130869,0.5333333333333333,0.38857391812666303,0.5460317460317461,2019
Sao Paulo,A,Clay,Guido Pella,86.5,48.0,90.25,0.729966967956564,0.5715277777777779,0.4642857142857143,0.4401727509778357,0.46785714285714286,2019
Indian Wells Masters,M,Hard,Dominic Thiem,102.2,8.0,38.666666666666664,0.6025794537266652,0.19876708259061202,0.556998556998557,0.3289199180105861,0.4861111111111111,2019
Miami Masters,M,Hard,Roger Federer,83.16666666666667,5.0,33.833333333333336,0.7714994084697476,0.6750841750841751,0.5416666666666666,0.4332068908055268,0.4345571095571095,2019
Houston,A,Clay,Cristian Garin,122.4,73.0,83.4,0.6628802870359236,0.42321428571428565,0.7827561327561329,0.4109559272125386,0.37031746031746027,2019
Marrakech,A,Clay,Benoit Paire,88.8,69.0,72.8,0.6560941932094229,0.6135897435897435,0.7525000000000001,0.4484299516908212,0.5423809523809523,2019
Monte Carlo Masters,M,Clay,Fabio Fognini,110.6,18.0,30.333333333333332,0.5135093382985833,0.06018518518518518,0.35661764705882354,0.38157839789231995,0.5200396825396825,2019
Barcelona,A,Clay,Dominic Thiem,94.8,5.0,25.2,0.668810292621025,0.27222222222222225,0.7166666666666666,0.5032570528211284,0.45631313131313134,2019
Budapest,A,Clay,Matteo Berrettini,96.0,55.0,65.0,0.7362545187854428,0.7535042735042736,0.5476190476190477,0.4153385570515484,0.41,2019
Estoril,A,Clay,Stefanos Tsitsipas,108.25,10.0,100.75,0.6453845301418439,0.4174242424242424,0.5913461538461539,0.4402845418470418,0.3958333333333333,2019
Munich,A,Clay,Cristian Garin,98.4,47.0,39.4,0.6384260330794984,0.3552754435107376,0.7109090909090909,0.42982239257881805,0.6242857142857142,2019
Madrid Masters,M,Clay,Novak Djokovic,96.0,1.0,25.8,0.5858698425527532,0.32555555555555554,0.54,0.32064188248398773,0.58,2019
