tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Roger Federer,87.25,2.0,74.25,0.7355392156862746,1.0022321428571428,0.662878787878788,0.4836353035366193,0.5144230769230769,2015
Chennai,A,Hard,Stan Wawrinka,79.5,4.0,79.75,0.7288540798369917,0.3974747474747475,0.40625,0.4058411536978591,0.41875,2015
Doha,A,Hard,David Ferrer,105.4,10.0,61.2,0.67640052729295,0.2154040404040404,0.6833333333333333,0.4206738088094021,0.36025641025641025,2015
Sydney,A,Hard,Viktor Troicki,83.8,92.0,47.2,0.7459271831434469,1.1546031746031746,0.26666666666666666,0.431455323470582,0.5385714285714286,2015
Auckland,A,Hard,Jiri Vesely,81.2,63.0,38.2,0.7590898245908636,0.9194444444444445,0.5333333333333333,0.3992094196546718,0.6174603174603174,2015
Australian Open,G,Hard,Novak Djokovic,144.42857142857142,1.0,42.42857142857143,0.7459912536404227,0.5439560606851436,0.5654761904761905,0.4172584370057616,0.38586256180793993,2015
Montpellier,A,Hard,Richard Gasquet,63.0,28.0,60.0,0.7972084367245658,0.9159090909090909,0.21875,0.5200428486997636,0.6916666666666667,2015
Quito,A,Clay,Victor Estrella,97.4,76.0,112.6,0.6951238728397536,0.2934090909090909,0.4600000000000001,0.41523237306533645,0.5142857142857142,2015
Zagreb,A,Hard,Andreas Seppi,112.0,40.0,81.5,0.6543826613498744,0.5029878618113912,0.5773809523809523,0.3811744621800225,0.60625,2015
Memphis,A,Hard,Kei Nishikori,121.5,5.0,94.25,0.6639039268013724,0.4099206349206349,0.6166666666666666,0.347576174086656,0.3890151515151515,2015
Rotterdam,A,Hard,Stan Wawrinka,105.4,8.0,65.0,0.7079074031210789,0.5912554112554114,0.7433333333333334,0.32456599716873685,0.43,2015
Sao Paulo,A,Clay,Pablo Cuevas,93.0,32.0,85.2,0.7072311341818652,0.6888888888888889,0.5295238095238095,0.40307844676463533,0.519047619047619,2015
Delray Beach,A,Hard,Ivo Karlovic,89.2,29.0,75.8,0.7432010217995045,1.6255555555555556,0.8,0.344234061606943,0.4990476190476191,2015
Marseille,A,Hard,Gilles Simon,106.6,17.0,67.8,0.6491291289961717,0.3932967032967033,0.4207575757575757,0.4111206928321356,0.4319264069264069,2015
Rio de Janeiro,A,Clay,David Ferrer,90.8,9.0,80.6,0.6500727647380791,0.14380952380952378,0.7128571428571429,0.4698662068637633,0.5022222222222223,2015
Acapulco,A,Hard,David Ferrer,102.2,9.0,85.6,0.6520676414119037,0.05174825174825175,0.4844444444444445,0.4879923729238797,0.6265934065934066,2015
Buenos Aires,A,Clay,Juan Monaco,119.0,60.0,59.0,0.6334922170028553,0.16936274509803922,0.7031746031746031,0.47194682220714373,0.49375,2015
Dubai,A,Hard,Roger Federer,55.4,2.0,39.6,0.7519516920692327,0.7820707070707071,0.3333333333333333,0.5070845337120444,0.75,2015
Indian Wells Masters,M,Hard,Novak Djokovic,92.6,1.0,31.666666666666668,0.603784817249788,0.35361952861952867,0.5111111111111111,0.3585334318600038,0.46595441595441595,2015
Miami Masters,M,Hard,Novak Djokovic,115.83333333333333,1.0,37.5,0.6757725907013183,0.4970492470492471,0.23611111111111108,0.47769724861262813,0.4624617098301309,2015
Casablanca,A,Clay,Daniel Gimeno Traver,89.25,95.0,126.0,0.701464146090029,0.2743055555555556,0.29166666666666663,0.460315281769257,0.4041666666666667,2015
Houston,A,Clay,Jack Sock,98.2,46.0,34.8,0.7036024760025723,0.41060606060606053,0.7866666666666666,0.3244926149826364,0.4793650793650793,2015
Monte Carlo Masters,M,Clay,Novak Djokovic,94.2,1.0,28.4,0.6979010447295579,0.19246031746031744,0.6033333333333333,0.4829213796955732,0.47296703296703296,2015
Barcelona,A,Clay,Pablo Andujar,88.4,66.0,28.2,0.653649375893983,0.08333333333333333,0.5222222222222223,0.48779074711910536,0.5386904761904762,2015
Bucharest,A,Clay,Guillermo Garcia Lopez,104.2,45.0,107.4,0.7003444724214571,0.285021645021645,0.48,0.44237790904457575,0.5014285714285714,2015
Estoril,A,Clay,Richard Gasquet,87.4,28.0,94.0,0.7067276364462656,0.3488888888888889,0.74,0.41122614726358214,0.64,2015
Istanbul,A,Clay,Roger Federer,105.0,2.0,54.75,0.7320969959932143,0.6529984721161192,0.3375,0.40479185409021273,0.28857253857253856,2015
Munich,A,Clay,Philipp Kohlschreiber,80.25,26.0,90.25,0.7133575635744426,0.40674603174603174,0.3125,0.45035539215686277,0.5477022977022977,2015
Madrid Masters,M,Clay,Andy Murray,92.2,3.0,20.2,0.6977081858252675,0.2871572871572871,0.8476190476190475,0.4643966596871034,0.5424242424242424,2015
Rome Masters,M,Clay,Novak Djokovic,104.2,1.0,51.6,0.7301817363590433,0.3994871794871795,0.7333333333333333,0.37858324893693907,0.5266666666666666,2015
Geneva,A,Clay,Thomaz Bellucci,97.0,60.0,60.8,0.6912432296833487,0.24161616161616162,0.5230769230769231,0.44427581705501373,0.4722222222222222,2015
Nice,A,Clay,Dominic Thiem,93.6,42.0,28.4,0.6823636238241854,0.5555555555555556,0.7266666666666667,0.4122200443987222,0.4290909090909091,2015
Roland Garros,G,Clay,Stan Wawrinka,142.71428571428572,9.0,33.57142857142857,0.6935774329851337,0.5248227962513677,0.7076139546727782,0.41702758340527335,0.3386752136752137,2015
s Hertogenbosch,A,Grass,Nicolas Mahut,,97.0,52.6,0.6939669908635426,0.5355555555555556,0.6799999999999999,0.46180094415388534,0.4527777777777778,2015
Stuttgart,A,Grass,Viktor Troicki,,28.0,50.0,0.7754310458704229,0.732983193277311,0.5972222222222222,0.4206087057150887,0.42013888888888884,2015
Halle,A,Grass,Roger Federer,108.0,2.0,135.2,0.7384336981993463,0.796590909090909,0.72,0.3350439675087562,0.25571428571428567,2015
Queen's Club,A,Grass,Andy Murray,,3.0,39.0,0.7314870311302327,0.6242424242424243,0.52,0.36291900367716956,0.5040476190476191,2015
Nottingham,A,Grass,Denis Istomin,,92.0,58.833333333333336,0.704142489223527,0.8019038423450188,0.5277777777777778,0.4254764192469181,0.5462962962962963,2015
Wimbledon,G,Grass,Novak Djokovic,176.0,1.0,28.0,0.7328543333467079,0.6514361300075586,0.6085600907029478,0.39077628188727725,0.4402145473574045,2015
Newport,A,Grass,Rajeev Ram,,161.0,75.4,0.7465419624714029,0.7903000594177065,0.5433333333333333,0.33656672941233445,0.5583333333333333,2015
Bastad,A,Clay,Benoit Paire,,62.0,133.8,0.6856590004422822,0.5204040404040404,0.58,0.43647818124607873,0.543968253968254,2015
Bogota,A,Hard,Bernard Tomic,,29.0,95.75,0.6810688492634136,1.075735294117647,0.5639880952380952,0.4108249183902041,0.4930555555555556,2015
Umag,A,Clay,Joao Sousa,,51.0,110.25,0.6526338740624456,0.29429945054945056,0.6698412698412698,0.49302636410369394,0.5942982456140351,2015
Atlanta,A,Hard,John Isner,,19.0,129.5,0.804204940280308,1.8970959595959598,0.6041666666666666,0.32549395406193865,0.5833333333333333,2015
Gstaad,A,Clay,Dominic Thiem,,24.0,40.0,0.6909682201569538,0.3769230769230769,0.65625,0.4109786678918729,0.48660714285714285,2015
Hamburg,A,Clay,Rafael Nadal,154.0,10.0,35.0,0.6167524644030669,0.08160173160173159,0.46984126984126984,0.5311010474977872,0.5258119658119658,2015
Kitzbuhel,A,Clay,Philipp Kohlschreiber,,39.0,68.6,0.6895978610684033,0.2937590187590188,0.5142857142857142,0.45548183512770635,0.43277777777777776,2015
Washington,A,Hard,Kei Nishikori,,5.0,43.6,0.7298175278470845,0.40769230769230774,0.5928571428571429,0.36648760467563724,0.3580284043441938,2015
Canada Masters,M,Hard,Andy Murray,,3.0,19.4,0.6617049104456889,0.5646464646464646,0.5838095238095238,0.47237598423816635,0.4572567783094099,2015
Cincinnati Masters,M,Hard,Roger Federer,90.0,3.0,12.6,0.7871648919904078,0.5942857142857142,0.2,0.40674635842357365,0.315,2015
Winston-Salem,A,Hard,Pierre Hugues Herbert,,140.0,55.0,0.6979694218824655,0.8536507936507938,0.7904761904761904,0.3883640648690755,0.49261904761904757,2015
US Open,G,Hard,Novak Djokovic,200.0,1.0,31.571428571428573,0.7278889863960675,0.4384668847296004,0.4105294291629696,0.46216361998355465,0.5035190999476714,2015
Metz,A,Hard,Jo-Wilfried Tsonga,,17.0,100.25,0.7094735720375106,0.9966628959276018,0.548611111111111,0.36826361269170355,0.4970238095238094,2015
St. Petersburg,A,Hard,Joao Sousa,,53.0,66.0,0.6416208156106906,0.13522727272727272,0.4721153846153846,0.40333907735991015,0.54375,2015
Kuala Lumpur,A,Hard,David Ferrer,,8.0,104.25,0.6498145566396725,0.2228354978354978,0.6865384615384615,0.42680794278504375,0.5815746753246753,2015
Shenzhen,A,Hard,Tomas Berdych,,5.0,56.75,0.7060876341490272,0.851010101010101,0.6666666666666666,0.4382847251483454,0.4613095238095238,2015
Beijing,A,Hard,Novak Djokovic,91.0,1.0,61.2,0.7082374853848872,0.55,0.52,0.5314433426561573,0.7300000000000001,2015
Tokyo,A,Hard,Stan Wawrinka,,4.0,116.2,0.6990754312770276,0.7143434343434343,0.5416666666666666,0.3788775344722155,0.6057142857142856,2015
Shanghai Masters,M,Hard,Novak Djokovic,78.0,1.0,19.6,0.7406998035487112,0.625,0.4,0.5105896214780646,0.39926573426573425,2015
Moscow,A,Hard,Marin Cilic,,14.0,70.5,0.6776995201846604,0.90625,0.875,0.4467592592592593,0.6666666666666666,2015
Stockholm,A,Hard,Jack Sock,,32.0,32.75,0.6594300620912374,0.791156045751634,0.7364583333333334,0.3853234957125961,0.5059523809523809,2015
Vienna,A,Hard,David Ferrer,,8.0,34.6,0.7036320874650394,0.36155372405372405,0.7133333333333333,0.4300471767654431,0.525,2015
Basel,A,Hard,Roger Federer,123.0,3.0,29.8,0.7306968641114983,0.6660256410256411,0.5333333333333333,0.40448081805234903,0.48058608058608054,2015
Valencia,A,Hard,Joao Sousa,,46.0,32.0,0.637893645890864,0.14883116883116881,0.7311111111111112,0.4080036896282335,0.47111111111111115,2015
Paris Masters,M,Hard,Novak Djokovic,93.0,1.0,13.4,0.6651729530804655,0.28383838383838383,0.5428571428571429,0.46332983408472045,0.41587301587301584,2015
Tour Finals,F,Hard,Novak Djokovic,80.0,1.0,5.5,0.7201552443719963,0.42857142857142855,0.25,0.45714742564758554,0.45555555555555555,2015
