tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Lleyton Hewitt,109.8,60.0,165.2,0.6891576486870699,0.5401495726495726,0.8147619047619047,0.408882229566321,0.41939393939393943,2014
Chennai,A,Hard,Stan Wawrinka,82.0,8.0,64.5,0.6604554865424431,0.4928571428571429,0.9035714285714286,0.4831543660291387,0.5028409090909091,2014
Doha,A,Hard,Rafael Nadal,121.0,1.0,67.6,0.6770267839978171,0.28253996003996,0.5900000000000001,0.4156688560481664,0.4159090909090909,2014
Auckland,A,Hard,Yen Hsun Lu,88.75,62.0,81.75,0.6726592976917063,0.17007575757575757,0.6476190476190476,0.3719262725475661,0.46699134199134196,2014
Sydney,A,Hard,Juan Martin del Potro,89.75,5.0,44.75,0.7393726792078821,1.0384615384615383,0.55,0.4020490743227783,0.5595238095238095,2014
Australian Open,G,Hard,Stan Wawrinka,161.16666666666666,8.0,32.857142857142854,0.6052132860254806,0.6233031763430009,0.5799319727891156,0.33089887045160743,0.32581699346405235,2014
Montpellier,A,Hard,Gael Monfils,83.2,30.0,42.6,0.7250774404051497,0.9166666666666667,0.30476190476190473,0.4013944670246463,0.411060606060606,2014
Vina del Mar,A,Clay,Leonardo Mayer,112.5,91.0,70.75,0.7342134923170969,0.5499999999999999,0.4392857142857143,0.3766210379788082,0.5375,2014
Zagreb,A,Hard,Marin Cilic,85.0,37.0,175.0,0.6913504273504273,0.9272727272727274,0.7461904761904762,0.42096395749059684,0.45499999999999996,2014
Buenos Aires,A,Clay,David Ferrer,93.4,5.0,68.2,0.6305049137984413,0.03636363636363636,0.5047619047619047,0.47723379154881984,0.5742460317460318,2014
Memphis,A,Hard,Kei Nishikori,94.25,16.0,90.5,0.6704181007509387,0.5446386946386947,0.6701388888888888,0.45973585787751287,0.5340277777777778,2014
Rotterdam,A,Hard,Tomas Berdych,85.6,7.0,31.2,0.7667638604530429,0.9288888888888888,0.75,0.4122054208087299,0.61,2014
Delray Beach,A,Hard,Marin Cilic,97.0,29.0,61.4,0.6968404117049921,1.078083778966132,0.5871794871794871,0.4515386376076031,0.43015873015873013,2014
Marseille,A,Hard,Ernests Gulbis,93.75,23.0,27.75,0.7692234848484849,1.2987689393939394,0.45833333333333337,0.36415679457630484,0.3074494949494949,2014
Rio de Janeiro,A,Clay,Rafael Nadal,104.0,1.0,59.6,0.6612363363249811,0.24034632034632036,0.7738095238095237,0.47186201315155973,0.5533333333333333,2014
Acapulco,A,Hard,Grigor Dimitrov,130.4,22.0,53.2,0.6657827805495046,0.3556045751633987,0.4866666666666667,0.4113035963647035,0.6,2014
Dubai,A,Hard,Roger Federer,94.8,8.0,39.0,0.6803848335572473,0.5473748473748474,0.7066666666666667,0.46146185782897564,0.5399567099567099,2014
Sao Paulo,A,Clay,Federico Delbonis,92.2,61.0,77.8,0.7324889140795456,0.7338461538461539,0.44666666666666666,0.4190445195912698,0.5771428571428572,2014
Indian Wells Masters,M,Hard,Novak Djokovic,105.16666666666667,2.0,48.333333333333336,0.7114706286662185,0.49374999999999997,0.4166666666666667,0.41046704761448766,0.36309523809523814,2014
Miami Masters,M,Hard,Novak Djokovic,85.25,2.0,20.833333333333332,0.47835814978672125,0.4077441077441078,0.5277777777777778,0.2783371527213892,0.5416666666666666,2014
Casablanca,A,Clay,Guillermo Garcia Lopez,134.4,53.0,91.8,0.6074164016551378,0.07583333333333334,0.29714285714285715,0.4709548322024414,0.5338383838383838,2014
Houston,A,Clay,Fernando Verdasco,95.5,29.0,66.0,0.6730638586956521,0.29632867132867136,0.7267857142857143,0.4272509674741226,0.7138888888888889,2014
Monte Carlo Masters,M,Clay,Stan Wawrinka,90.25,3.0,13.4,0.5929468170454888,0.37238095238095237,0.26666666666666666,0.3299505328161764,0.42857142857142855,2014
Barcelona,A,Clay,Santiago Giraldo,79.4,65.0,39.0,0.6737030812324931,0.4128282828282829,0.4095238095238095,0.4725926491492,0.5938095238095238,2014
Bucharest,A,Clay,Lukas Rosol,85.25,43.0,53.75,0.6467453472378173,0.46303418803418805,0.56875,0.4620692965729117,0.6369047619047619,2014
Estoril,A,Clay,Carlos Berlocq,94.2,62.0,75.8,0.6457010066281635,0.38747474747474747,0.58,0.4631284341290406,0.5863203463203461,2014
