tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Auckland,A,Hard,Dominik Hrbaty,103.6,17.0,64.2,0.6471643738140418,0.568051948051948,0.7265656565656566,0.4304435557646567,0.3801864801864802,2001
St. Poelten,A,Clay,Andrea Gaudenzi,94.2,120.0,73.0,0.7323899039491243,0.5123232323232323,0.49333333333333335,0.4353657770800628,0.3746503496503496,2001
Munich,A,Clay,Jiri Novak,77.6,68.0,61.0,0.6795677252948616,0.3770629370629371,0.5266666666666666,0.4157495803430691,0.5815384615384616,2001
Queen's Club,A,Grass,Lleyton Hewitt,87.6,6.0,36.2,0.6835066284956518,0.3841880341880342,0.3333333333333333,0.43397925350511557,0.4605555555555555,2001
Gstaad,A,Clay,Jiri Novak,85.2,40.0,40.0,0.6979576097661203,0.49940476190476185,0.6266666666666667,0.43591831341406895,0.4460606060606061,2001
Newport,A,Grass,Neville Godwin,102.6,167.0,185.2,0.6796445992882787,0.46979458450046685,0.7999999999999999,0.42272656112684803,0.6031746031746031,2001
Bastad,A,Clay,Andrea Gaudenzi,95.0,78.0,55.0,0.6427823896664826,0.2816666666666666,0.5755555555555556,0.48814082171708406,0.6703508771929825,2001
Amsterdam,A,Clay,Alex Corretja,123.6,9.0,102.0,0.6608924678560306,0.24045214045214042,0.5985714285714285,0.4016872408834636,0.5888888888888889,2001
Kitzbuhel,A,Clay,Albert Costa,83.4,65.0,124.0,0.6799811676082863,0.23272727272727273,0.30666666666666664,0.4907477589369762,0.5448051948051947,2001
Stuttgart,A,Clay,Gustavo Kuerten,97.8,1.0,45.8,0.7140736831130919,0.8452922077922077,0.6547619047619048,0.4387474747474747,0.5660317460317461,2001
Palermo,A,Clay,Felix Mantilla,105.2,56.0,53.6,0.6719837945854206,0.4455844155844155,0.3323076923076923,0.5148894401606325,0.5437806637806637,2001
Basel,A,Carpet,Tim Henman,71.6,11.0,41.0,0.7421890382649919,0.6416666666666666,0.7333333333333333,0.5254208520428392,0.7031746031746031,2001
