tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Ryan Harrison,130.25,47.0,110.5,0.6812820342877342,1.0140491452991454,0.6944444444444444,0.3659904110345589,0.5998376623376623,2018
Doha,A,Hard,Gael Monfils,84.25,46.0,40.0,0.3970206264323911,0.29160839160839164,0.2583333333333333,0.22337858220211163,0.27142857142857146,2018
Pune,A,Hard,Gilles Simon,95.8,89.0,66.8,0.6430357987374828,0.20383838383838385,0.52,0.4587467799343205,0.5207142857142857,2018
Auckland,A,Hard,Roberto Bautista Agut,108.4,21.0,41.25,0.7020260114842158,0.30277777777777776,0.58,0.4548784650765051,0.6628571428571428,2018
Sydney,A,Hard,Daniil Medvedev,102.2,84.0,64.6,0.592341824841825,0.5227350427350428,0.4583333333333333,0.34021811035253463,0.3304273504273504,2018
Australian Open,G,Hard,Roger Federer,119.0,2.0,43.0,0.7433910793348358,0.9123336291038154,0.6492063492063492,0.4075936517385547,0.40437062937062945,2018
Montpellier,A,Hard,Richard Gasquet,93.25,33.0,42.25,0.6847508263412153,0.42600373482726417,0.35416666666666663,0.4324418653635521,0.4684752747252747,2018
Quito,A,Clay,Roberto Carballes Baena,126.6,107.0,113.0,0.6895400497551035,0.24952380952380954,0.6187878787878789,0.3856548081732769,0.40075757575757576,2018
Sofia,A,Hard,Mirza Basic,97.2,129.0,59.4,0.723177926332164,0.6595603089720737,0.8333333333333333,0.3370201090207421,0.4416666666666666,2018
Buenos Aires,A,Clay,Aljaz Bedene,101.25,51.0,43.5,0.6675305688463583,1.0625,0.5875,0.45837912087912086,0.5042735042735043,2018
New York,A,Hard,Kevin Anderson,124.75,11.0,67.0,0.7423812941911794,1.2773809523809523,0.6354166666666666,0.3285872157910501,0.34523809523809523,2018
Rotterdam,A,Hard,Roger Federer,73.2,2.0,56.0,0.788499464205073,0.6883333333333332,0.13333333333333333,0.44496712397333515,0.4583333333333333,2018
