tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Auckland,A,Hard,Magnus Norman,87.2,14.0,74.8,0.679812842475745,0.6143939393939395,0.5999999999999999,0.440259592975145,0.48,2000
St. Poelten,A,Clay,Andrei Pavel,99.8,43.0,48.2,0.5928249281190456,0.23048951048951052,0.4111111111111111,0.45635692507860715,0.5049206349206349,2000
Munich,A,Clay,Franco Squillari,93.6,52.0,51.5,0.6695073960291388,0.21730158730158727,0.4,0.4502152909478048,0.5005860805860806,2000
Queen's Club,A,Grass,Lleyton Hewitt,75.0,11.0,117.0,0.7047764892457131,0.6444444444444445,0.4833333333333333,0.39921488308585085,0.5438095238095239,2000
Gstaad,A,Clay,Alex Corretja,102.4,10.0,38.6,0.7119631475342656,0.45904761904761904,0.6446153846153846,0.45073846055695554,0.4796778711484594,2000
Newport,A,Grass,Peter Wessels,82.0,133.0,126.8,0.5996682123005419,0.6057589469354175,0.2666666666666667,0.23248230163893796,0.5238095238095238,2000
Bastad,A,Clay,Magnus Norman,69.8,2.0,75.6,0.7504299006856552,0.47373015873015867,0.4800000000000001,0.47667829900087966,0.5057142857142857,2000
Amsterdam,A,Clay,Magnus Gustafsson,94.8,63.0,167.8,0.7499712490082429,0.3442057942057942,0.3,0.39305445828105257,0.5933333333333334,2000
Kitzbuhel,A,Clay,Emilio Benfele Alvarez,92.8,150.0,83.6,0.6811696113533046,0.6243939393939394,0.7151515151515151,0.3861832692109403,0.4066666666666666,2000
Stuttgart Outdoor,A,Clay,Franco Squillari,111.6,20.0,137.6,0.6593803605863406,0.33066378066378066,0.6338888888888888,0.44601718213058417,0.5479797979797979,2000
Palermo,A,Clay,Olivier Rochus,112.8,104.0,118.0,0.6085028175323604,0.20913419913419914,0.41071428571428575,0.49536657469452106,0.48571428571428565,2000
Toulouse,A,Hard,Alex Corretja,72.8,9.0,57.6,0.7724824470060956,0.6590909090909091,0.2,0.4453259335244658,0.5021855921855922,2000
Basel,A,Carpet,Thomas Enqvist,104.0,6.0,27.8,0.6966322846352919,0.7901154401154401,0.7111904761904762,0.4001293067674023,0.538888888888889,2000
Tokyo,A,Hard,Sjeng Schalken,99.83333333333333,51.0,64.5,0.6805939686418666,0.33217592592592593,0.6824494949494949,0.43559363578209315,0.5333694083694084,2000
Hong Kong,A,Hard,Nicolas Kiefer,91.4,13.0,42.4,0.6690321234876928,0.638095238095238,0.5433333333333333,0.44506199367093124,0.5561904761904761,2000
Vienna,A,Hard,Tim Henman,102.8,10.0,34.0,0.672344644602709,0.42287878787878785,0.8033333333333333,0.4208413988686259,0.5392857142857144,2000
Sydney,A,Hard,Lleyton Hewitt,77.4,21.0,58.0,0.6936170440800453,0.3366666666666667,0.6333333333333333,0.4318518518518518,0.5619047619047619,2000
Adelaide,A,Hard,Lleyton Hewitt,91.0,25.0,91.2,0.6607941561226263,0.25137362637362637,0.6950000000000001,0.47272230395525305,0.6541666666666667,2000
Paris Masters,M,Carpet,Marat Safin,102.8,2.0,30.2,0.6795490323875832,0.8432727272727274,0.6856643356643357,0.40953697835487873,0.5871428571428571,2000
Stuttgart Masters,M,Hard,Wayne Ferreira,97.83333333333333,19.0,34.5,0.5644478475967584,0.6296296296296295,0.5333333333333333,0.4990986472108223,0.5870039682539682,2000
