tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Milos Raonic,103.75,14.0,46.5,0.7237371626462861,1.0041666666666664,0.75,0.3666854608450162,0.26875000000000004,2016
Chennai,A,Hard,Borna Coric,141.75,44.0,64.5,0.6912698817423921,0.525,0.7309253246753247,0.39232081193022267,0.33942307692307694,2016
Doha,A,Hard,Novak Djokovic,77.6,1.0,42.6,0.7185984899472583,0.3127272727272727,0.77,0.49722766973108967,0.5204761904761904,2016
Auckland,A,Hard,Roberto Bautista Agut,85.4,25.0,27.0,0.6960819875605522,0.42719696969696963,0.5742857142857142,0.40118653616865163,0.5166666666666666,2016
Sydney,A,Hard,Viktor Troicki,106.5,22.0,48.0,0.6630597529165527,0.6734126984126984,0.5714285714285714,0.42957551134771643,0.5218253968253967,2016
Australian Open,G,Hard,Novak Djokovic,152.42857142857142,1.0,42.142857142857146,0.7139703630892925,0.531443346569397,0.5634920634920635,0.43978413917466713,0.48950113378684806,2016
Montpellier,A,Hard,Paul Henri Mathieu,100.0,93.0,84.75,0.6925893550893552,0.5763888888888888,0.7535714285714286,0.3863040342410779,0.5736111111111111,2016
Quito,A,Clay,Victor Estrella,97.6,58.0,91.4,0.5867318557149066,0.34249999999999997,0.5,0.3054106334841629,0.4057142857142857,2016
Sofia,A,Hard,Roberto Bautista Agut,81.66666666666667,18.0,54.25,0.5554245283018868,0.11818181818181817,0.25,0.2727938727938728,0.32321428571428573,2016
Buenos Aires,A,Clay,Dominic Thiem,121.2,19.0,72.4,0.6959489039240868,0.42671568627450973,0.5797402597402599,0.38236155941126926,0.38492063492063494,2016
Memphis,A,Hard,Taylor Fritz,107.0,145.0,156.25,0.6220924247010051,0.8905812324929971,0.702020202020202,0.372992385436667,0.5431547619047619,2016
Rotterdam,A,Hard,Martin Klizan,128.2,43.0,37.8,0.6879871323503753,0.5591666666666667,0.7814285714285714,0.4134137849079026,0.4575,2016
Delray Beach,A,Hard,Sam Querrey,97.6,61.0,291.6,0.6783051981336444,0.8480926916221033,0.49142857142857144,0.36768140415046446,0.5722222222222222,2016
Marseille,A,Hard,Nick Kyrgios,70.8,41.0,23.2,0.7838380741229932,1.5583333333333333,0.6,0.4121964910241974,0.6006493506493505,2016
Rio de Janeiro,A,Clay,Pablo Cuevas,108.4,45.0,112.2,0.7256805411203393,0.6589572192513369,0.5,0.40224779821722745,0.4259090909090909,2016
Acapulco,A,Hard,Dominic Thiem,96.8,15.0,246.0,0.7124155530752607,0.6599999999999999,0.3333333333333333,0.4178953294568227,0.4708333333333333,2016
Dubai,A,Hard,Stan Wawrinka,87.0,4.0,79.6,0.6459074480217726,0.5751871657754011,0.687857142857143,0.44890588359996536,0.5166666666666667,2016
Sao Paulo,A,Clay,Pablo Carreno Busta,77.33333333333333,67.0,83.5,0.7001305346700084,0.5439560439560439,0.47916666666666663,0.48098995695839314,0.6011904761904762,2016
Indian Wells Masters,M,Hard,Novak Djokovic,98.5,1.0,38.0,0.6920886823053105,0.30317460317460315,0.2619047619047619,0.4567828791836835,0.41305916305916307,2016
Miami Masters,M,Hard,Novak Djokovic,96.0,1.0,27.833333333333332,0.6635557091551424,0.41948653198653196,0.5,0.48048341436197584,0.4698653198653198,2016
Houston,A,Clay,Juan Monaco,110.6,148.0,44.6,0.6542276513803077,0.05333333333333333,0.6500000000000001,0.44276323904403403,0.3417316017316017,2016
Marrakech,A,Clay,Federico Delbonis,83.25,47.0,82.0,0.6722900278228148,0.4111111111111111,0.6041666666666666,0.428618518578963,0.424975024975025,2016
Monte Carlo Masters,M,Clay,Rafael Nadal,121.6,5.0,19.2,0.6380111651631267,0.18753690753690752,0.5650020567667627,0.4894033050159129,0.487936507936508,2016
