tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Madrid Masters,M,Hard,Gilles Simon,141.4,16.0,23.2,0.6699944745830821,0.3742986425339367,0.6512121212121211,0.3670943245004922,0.47857142857142865,2008
Bangkok,A,Hard,Jo-Wilfried Tsonga,84.25,20.0,60.0,0.7355022091977894,1.089804292929293,0.8083333333333333,0.395947443922796,0.5833333333333333,2008
Zagreb,A,Hard,Sergiy Stakhovsky,114.0,209.0,53.8,0.6925447883545168,0.48424242424242425,0.5642857142857143,0.3605300904760443,0.4723809523809524,2008
Auckland,A,Hard,Philipp Kohlschreiber,95.2,31.0,52.6,0.6576066738282573,0.4038095238095238,0.6428571428571429,0.4463321051365397,0.5942857142857143,2008
Poertschach,A,Clay,Nikolay Davydenko,96.2,4.0,98.0,0.7018066558764233,0.3037484737484738,0.680952380952381,0.45327962578069336,0.5338888888888889,2008
Munich,A,Clay,Fernando Gonzalez,116.6,15.0,116.4,0.6784020965442504,0.2863636363636364,0.8241666666666667,0.3768730265529256,0.6077777777777779,2008
Queen's Club,A,Grass,Rafael Nadal,111.2,2.0,49.2,0.7289650214176258,0.4225108225108225,0.6916666666666667,0.35200577557137974,0.352014652014652,2008
Gstaad,A,Clay,Victor Hanescu,99.8,80.0,65.8,0.7618992099837656,0.4241558441558442,0.7,0.3271796770439084,0.3345454545454546,2008
Newport,A,Grass,Prakash Amritraj,102.25,305.0,188.0,0.7436901478375993,0.521875,0.5416666666666666,0.3601776917663617,0.2517857142857143,2008
Bastad,A,Clay,Tommy Robredo,89.75,17.0,58.75,0.6763986013986014,0.30833333333333335,0.37857142857142856,0.473856393122028,0.5081168831168832,2008
Amersfoort,A,Clay,Albert Montanes,77.0,63.0,95.0,0.6854965287550427,0.316984126984127,0.7833333333333333,0.49110860273468004,0.47497835497835494,2008
Kitzbuhel,A,Clay,Juan Martin del Potro,77.0,44.0,104.4,0.7087126623376624,0.4148412698412699,0.7333333333333333,0.4616738036210653,0.6575757575757575,2008
Stuttgart,A,Clay,Juan Martin del Potro,105.6,65.0,48.6,0.7185783064781714,0.43694083694083685,0.26666666666666666,0.39046306908989753,0.5794871794871794,2008
Basel,A,Hard,Roger Federer,80.8,2.0,40.8,0.7479355529498967,1.0669444444444445,0.525,0.39613389743307315,0.4533333333333333,2008
