tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Madrid Masters,M,Hard,Roger Federer,88.4,1.0,27.0,0.7340930195888677,0.8755439005439005,0.8,0.4295952826853795,0.49230769230769234,2006
Bangkok,A,Hard,James Blake,77.4,9.0,109.0,0.6545941463394158,0.42103174603174603,0.538888888888889,0.48662229259519896,0.5482600732600733,2006
Zagreb,A,Carpet,Ivan Ljubicic,94.6,5.0,85.6,0.7506008855154965,1.0264069264069264,0.5333333333333333,0.3561962628493426,0.3883333333333333,2006
Auckland,A,Hard,Jarkko Nieminen,90.0,29.0,46.2,0.6865470771976796,0.2876470588235294,0.6428571428571429,0.4399981633850169,0.6533333333333333,2006
Poertschach,A,Clay,Nikolay Davydenko,62.4,6.0,100.4,0.7307692307692308,0.7297619047619047,0.35,0.5499097701673814,0.6776923076923078,2006
Munich,A,Clay,Olivier Rochus,94.2,30.0,109.6,0.6720530803870843,0.05472222222222223,0.636969696969697,0.48540121635813493,0.48666666666666664,2006
Queen's Club,A,Grass,Lleyton Hewitt,121.6,13.0,49.8,0.6591152482269503,0.598974358974359,0.37555555555555553,0.4064070673796074,0.5063247863247863,2006
Gstaad,A,Clay,Richard Gasquet,96.4,60.0,61.4,0.7041004732207603,0.6447330447330446,0.7666666666666667,0.46283506945021224,0.5969841269841271,2006
Newport,A,Grass,Mark Philippoussis,89.2,214.0,97.2,0.7483652026792897,1.1899922299922299,0.6,0.4016130369355033,0.37803030303030305,2006
Bastad,A,Clay,Tommy Robredo,100.2,9.0,58.0,0.6678154618804115,0.046153846153846156,0.3088888888888889,0.5054401404182485,0.4124223602484472,2006
Amersfoort,A,Clay,Novak Djokovic,88.6,36.0,70.4,0.6753069977274413,0.7075252525252526,0.5333333333333333,0.5059539123143006,0.4957142857142857,2006
Kitzbuhel,A,Clay,Agustin Calleri,108.0,59.0,58.4,0.6682191021250089,0.8115306915306915,0.5157142857142858,0.4721500376896083,0.4397979797979798,2006
Stuttgart,A,Clay,David Ferrer,117.2,18.0,63.6,0.6414595414835377,0.21145299145299146,0.6086904761904762,0.4920180640086141,0.5614035087719299,2006
Palermo,A,Clay,Filippo Volandri,114.0,38.0,79.2,0.6236073506325607,0.06317460317460317,0.4103030303030303,0.5067708521268892,0.40947288006111543,2006
Basel,A,Carpet,Roger Federer,85.4,1.0,60.4,0.777737969821432,0.718982683982684,0.2,0.4464559004540799,0.424025974025974,2006
Tokyo,A,Hard,Roger Federer,80.8,1.0,310.8,0.7823561775042612,0.6503594771241831,0.4333333333333333,0.39853812853812853,0.4212121212121212,2006
