tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Robin Soderling,82.2,5.0,99.4,0.7471152971152971,0.9595959595959596,0.4,0.4014994146912496,0.4766666666666667,2011
Chennai,A,Hard,Stan Wawrinka,101.6,21.0,197.0,0.6821462244190549,0.6183333333333334,0.7866666666666666,0.39425867317806595,0.44000000000000006,2011
Doha,A,Hard,Roger Federer,83.4,2.0,69.6,0.7697155905055532,0.5075757575757576,0.2,0.40917627855911365,0.3466666666666666,2011
Auckland,A,Hard,David Nalbandian,86.0,27.0,37.5,0.7076923076923076,0.27020202020202017,0.9166666666666666,0.3984720475933572,0.5357142857142857,2011
Sydney,A,Hard,Gilles Simon,78.2,41.0,48.0,0.6972636080980318,0.35444444444444445,0.38571428571428573,0.5027504318120426,0.5769230769230769,2011
Australian Open,G,Hard,Novak Djokovic,132.42857142857142,3.0,25.285714285714285,0.689336360609088,0.5220663164051046,0.5357142857142857,0.47600318294531363,0.43771149485435196,2011
Johannesburg,A,Hard,Kevin Anderson,103.2,59.0,101.2,0.7224810885661643,1.0924603174603176,0.626984126984127,0.4446537958084555,0.6849999999999999,2011
Santiago,A,Clay,Tommy Robredo,106.0,40.0,82.0,0.6570163532821172,0.32658730158730154,0.7250793650793652,0.4428412731501332,0.5085714285714286,2011
Zagreb,A,Hard,Ivan Dodig,105.2,84.0,47.6,0.6831350691309191,0.893888888888889,0.8066666666666666,0.41461716675673765,0.5120634920634921,2011
Costa Do Sauipe,A,Clay,Nicolas Almagro,86.25,13.0,71.75,0.6672203761071687,0.7035984848484849,0.5625,0.4099887237503697,0.4076388888888889,2011
Rotterdam,A,Hard,Robin Soderling,93.2,4.0,28.6,0.741831741055879,1.010168916051269,0.45,0.37063056053684695,0.44333333333333336,2011
San Jose,A,Hard,Milos Raonic,86.0,84.0,62.0,0.6184982797004654,1.0948484848484847,0.7333333333333333,0.2577627772420444,0.2738095238095238,2011
Buenos Aires,A,Clay,Nicolas Almagro,97.2,13.0,145.6,0.7204107550072069,0.4724025974025975,0.5972727272727273,0.43562920950017725,0.5433333333333332,2011
Marseille,A,Hard,Robin Soderling,91.25,4.0,67.25,0.7294982970439614,1.0861111111111112,0.5416666666666666,0.39447580665099224,0.53125,2011
Memphis,A,Hard,Andy Roddick,113.6,8.0,110.4,0.7110823679995413,1.370793650793651,0.5,0.3720414990348363,0.3563636363636364,2011
Acapulco,A,Clay,David Ferrer,110.8,6.0,105.0,0.6654486816058387,0.18543956043956045,0.5868742368742369,0.47214179540266493,0.589873949579832,2011
Delray Beach,A,Hard,Juan Martin del Potro,88.0,166.0,51.6,0.6974555384877966,0.3987301587301587,0.45681818181818185,0.4528039035766856,0.7478571428571429,2011
Dubai,A,Hard,Novak Djokovic,92.6,3.0,23.0,0.7189191540513686,0.5595604395604395,0.71,0.42530448463846515,0.5642857142857143,2011
Indian Wells Masters,M,Hard,Novak Djokovic,91.33333333333333,3.0,19.166666666666668,0.6785284177606276,0.24216524216524213,0.611111111111111,0.5259086608466553,0.6273148148148148,2011
Miami Masters,M,Hard,Novak Djokovic,97.0,2.0,50.0,0.6991945766715612,0.40029761904761907,0.75,0.5075939599050595,0.5836640211640213,2011
Casablanca,A,Clay,Pablo Andujar,88.6,69.0,57.0,0.6615384918663606,0.185,0.4291666666666666,0.472564728735426,0.45798368298368297,2011
Houston,A,Clay,Ryan Sweeting,104.8,93.0,101.6,0.6626859414188684,0.29810606060606065,0.78,0.43093165551167634,0.4978571428571429,2011
Monte Carlo Masters,M,Clay,Rafael Nadal,111.8,1.0,25.4,0.6733390742184007,0.11282051282051282,0.40952380952380957,0.5025126646403242,0.46704640388850915,2011
Barcelona,A,Clay,Rafael Nadal,84.2,1.0,37.0,0.6717471690667749,0.13214285714285715,0.3583333333333333,0.5543374823174393,0.5159090909090909,2011
Munich,A,Clay,Nikolay Davydenko,105.2,40.0,84.4,0.6649751292179601,0.31271395271395275,0.8447619047619048,0.4433921685811891,0.3791486291486291,2011
Belgrade,A,Clay,Novak Djokovic,90.0,2.0,83.25,0.48713874402433727,0.18333333333333335,0.5416666666666666,0.35848115047860996,0.5333333333333333,2011
Estoril,A,Clay,Juan Martin del Potro,97.0,46.0,140.8,0.7140458440897037,0.37562937062937063,0.3666666666666667,0.45168675311467077,0.546007326007326,2011
Madrid Masters,M,Clay,Novak Djokovic,113.6,2.0,21.4,0.7233758989489212,0.390974025974026,0.4666666666666666,0.44174487794245854,0.45519480519480515,2011
Rome Masters,M,Clay,Novak Djokovic,110.6,2.0,33.0,0.6686167873935697,0.2015873015873016,0.5166666666666667,0.496368825791186,0.5028127428127428,2011
Nice,A,Clay,Victor Hanescu,65.0,69.0,69.75,0.7082553947083062,0.27142857142857146,0.4375,0.5226942980374525,0.5138888888888888,2011
Roland Garros,G,Clay,Rafael Nadal,179.71428571428572,1.0,51.857142857142854,0.6712892761937753,0.21105833941968397,0.5648809523809524,0.47922923871935336,0.5204795204795205,2011
Halle,A,Grass,Philipp Kohlschreiber,87.4,49.0,76.6,0.7304512774345893,0.7017427017427018,0.12,0.3902828522713433,0.325,2011
Queen's Club,A,Grass,Andy Murray,109.75,4.0,25.4,0.5820144860861898,0.8316666666666667,0.3666666666666667,0.31909613615795296,0.3390476190476191,2011
Eastbourne,A,Grass,Andreas Seppi,110.8,51.0,80.0,0.6749882844072985,0.45021645021645024,0.6789377289377289,0.37917245691608803,0.5866666666666667,2011
s Hertogenbosch,A,Grass,Dmitry Tursunov,103.4,70.0,68.0,0.6517035046137213,0.47111111111111115,0.4355555555555556,0.39370994339908505,0.42444444444444435,2011
Wimbledon,G,Grass,Novak Djokovic,140.85714285714286,2.0,47.57142857142857,0.7256155407413434,0.539937027442556,0.5619047619047619,0.4175106445503475,0.5036075036075036,2011
Newport,A,Grass,John Isner,94.0,46.0,101.4,0.772479063956237,1.4040404040404042,0.6,0.3933133703230471,0.25333333333333335,2011
Bastad,A,Clay,Robin Soderling,64.25,5.0,41.5,0.7274371710282452,0.48928571428571427,0.25,0.5803202402453063,0.5665584415584416,2011
Stuttgart,A,Clay,Juan Carlos Ferrero,102.0,85.0,109.6,0.6445035460992907,0.2473809523809524,0.5514935064935065,0.4849888923025475,0.5,2011
Atlanta,A,Hard,Mardy Fish,97.75,9.0,80.0,0.7317598564157942,0.5543650793650794,0.725,0.45905732860520093,0.41666666666666663,2011
Hamburg,A,Clay,Gilles Simon,122.0,18.0,27.6,0.5967793508135878,0.2883333333333333,0.5788461538461538,0.4741671173304491,0.6345743145743146,2011
