tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Madrid Masters,M,Hard,David Nalbandian,107.83333333333333,25.0,18.333333333333332,0.6727039585857226,0.5424753487253487,0.5944444444444444,0.4320063156233467,0.5898809523809524,2007
Bangkok,A,Hard,Dmitry Tursunov,95.2,29.0,80.2,0.712836284089272,0.696346153846154,0.5028571428571429,0.3950560224089636,0.5133333333333334,2007
Zagreb,A,Carpet,Marcos Baghdatis,105.4,21.0,69.0,0.6969187116091196,1.0775000000000001,0.7980952380952382,0.37139412997903565,0.489047619047619,2007
Auckland,A,Hard,David Ferrer,100.2,16.0,38.2,0.6139006458830265,0.287012987012987,0.5551282051282052,0.5182804564783773,0.5502894491129785,2007
Poertschach,A,Clay,Juan Monaco,90.6,47.0,52.4,0.693790040083101,0.3788888888888889,0.4095238095238095,0.5033134092346616,0.6395238095238096,2007
Munich,A,Clay,Philipp Kohlschreiber,94.6,49.0,33.2,0.6827547154270653,0.3283549783549783,0.635,0.4378419099175027,0.48049450549450545,2007
Queen's Club,A,Grass,Nicolas Mahut,103.8,106.0,35.8,0.7078939925138014,0.95995670995671,0.725,0.36261409492230523,0.48025062656641604,2007
Gstaad,A,Clay,Paul Henri Mathieu,114.0,28.0,86.4,0.6980746651682901,0.439065199506376,0.44333333333333336,0.3695799619175375,0.49833333333333335,2007
Newport,A,Grass,Fabrice Santoro,85.6,68.0,117.4,0.6677965195623146,0.17136363636363638,0.5557142857142857,0.43597123667381277,0.5428571428571428,2007
Bastad,A,Clay,David Ferrer,80.4,15.0,47.2,0.6907073352379557,0.05714285714285714,0.5333333333333333,0.5593595848595848,0.47041514041514043,2007
Amersfoort,A,Clay,Steve Darcis,92.4,297.0,44.6,0.6460575669346535,0.39428571428571424,0.5666666666666667,0.4572552336156261,0.4484981684981686,2007
Kitzbuhel,A,Clay,Juan Monaco,101.4,32.0,42.4,0.6641914611599182,0.2555555555555556,0.7244155844155843,0.4296613113455218,0.5737337662337663,2007
Stuttgart,A,Clay,Rafael Nadal,93.2,2.0,67.0,0.7228621464239249,0.3296897546897547,0.3333333333333333,0.49520146520146524,0.43298368298368295,2007
Basel,A,Hard,Roger Federer,75.2,1.0,44.6,0.7301931239484521,0.6603418803418803,0.8033333333333333,0.39672711616292083,0.35050505050505054,2007
Tokyo,A,Hard,David Ferrer,78.0,8.0,64.4,0.7274262604629103,0.48121212121212126,0.6833333333333333,0.4503466441027678,0.5178205128205129,2007
New Haven,A,Hard,James Blake,91.8,6.0,39.2,0.6569381042739676,0.6468065268065268,0.46428571428571425,0.4261617250673854,0.6208791208791209,2007
Vienna,A,Hard,Novak Djokovic,102.0,3.0,65.2,0.6874552916825696,0.4273529411764706,0.5428571428571429,0.44774850309333064,0.503968253968254,2007
Sydney,A,Hard,James Blake,69.5,5.0,89.2,0.5695324283559577,0.473968253968254,0.6266666666666666,0.3486299245309146,0.5557142857142857,2007
Adelaide,A,Hard,Novak Djokovic,85.4,16.0,138.4,0.7175509330594076,0.7265656565656566,0.680952380952381,0.485765767842296,0.46952380952380957,2007
Metz,A,Hard,Tommy Robredo,109.0,9.0,56.0,0.6920986762193517,0.5184595959595959,0.6,0.4071460514030173,0.44603174603174606,2007
Mumbai,A,Hard,Richard Gasquet,61.0,14.0,71.0,0.7458682240191674,0.572063492063492,0.3,0.5094493770809561,0.7276190476190476,2007
Paris Masters,M,Hard,David Nalbandian,97.16666666666667,21.0,11.0,0.7188606178259859,0.6807239057239057,0.5583333333333333,0.426940685064795,0.44646464646464645,2007
Casablanca,A,Clay,Paul Henri Mathieu,106.8,57.0,80.8,0.7421454571472011,0.4646753246753247,0.75,0.4591802529931298,0.4181929181929182,2007
Lyon,A,Carpet,Sebastien Grosjean,103.0,81.0,64.5,0.7465180887612662,0.7280011655011654,0.4,0.41826099323367083,0.6127777777777779,2007
Memphis,A,Hard,Tommy Haas,64.0,9.0,55.6,0.8216730266157871,0.8794444444444445,0.0,0.40681336998225337,0.31915584415584414,2007
Miami Masters,M,Hard,Guillermo Canas,122.5,55.0,16.166666666666668,0.6724878483453591,0.36127946127946126,0.647005772005772,0.3961708878094454,0.47376651126651126,2007
Indian Wells Masters,M,Hard,Rafael Nadal,89.5,2.0,26.0,0.7245985721595477,0.5007936507936508,0.5555555555555556,0.41764946904832123,0.5162698412698412,2007
Rotterdam,A,Hard,Mikhail Youzhny,94.5,22.0,42.6,0.5773025083663381,0.6488888888888888,0.52,0.34049713609517135,0.42682539682539683,2007
